,RB090_COMPONENT,RB090_DATE_OUT-RB090_DATE_IN
34320,OUTSOLE,282.7441667
23211,OUTSOLE,282.7205556
38903,OUTSOLE,282.6947222
15502,OUTSOLE,282.6519444
28962,OUTSOLE,282.6488889
15500,OUTSOLE,282.5891667
43815,OUTSOLE,282.5236111
43845,OUTSOLE,282.3783333
32527,OUTSOLE,282.3188889
40213,OUTSOLE,282.2913889
40332,OUTSOLE,282.2125
32533,OUTSOLE,282.1916667
1180,OUTSOLE,282.1011111
42689,OUTSOLE,282.08
11031,OUTSOLE,282.0669444
29140,OUTSOLE,281.9477778
42427,OUTSOLE,281.9438889
42429,OUTSOLE,281.9438889
26064,OUTSOLE,281.8358333
8645,OUTSOLE,281.68
43484,OUTSOLE,281.6286111
43485,OUTSOLE,281.6133333
26246,OUTSOLE,281.5477778
31697,OUTSOLE,281.3305556
32675,OUTSOLE,281.1983333
19248,OUTSOLE,281.1947222
19250,OUTSOLE,281.1947222
31706,OUTSOLE,281.1858333
14620,OUTSOLE,280.9794444
14621,OUTSOLE,280.9794444
7610,OUTSOLE,280.8030556
30972,OUTSOLE,280.6975
32714,OUTSOLE,280.4669444
39070,OUTSOLE,280.205
33161,OUTSOLE,280.1730556
33164,OUTSOLE,280.1541667
33167,OUTSOLE,280.1241667
43335,OUTSOLE,279.9830556
43526,OUTSOLE,279.9580556
39257,OUTSOLE,279.7888889
39258,OUTSOLE,279.7888889
34142,OUTSOLE,279.725
43351,OUTSOLE,279.6938889
39276,OUTSOLE,279.6558333
43373,OUTSOLE,279.5002778
43375,OUTSOLE,279.495
42544,OUTSOLE,279.2786111
11383,OUTSOLE,278.8475
39359,OUTSOLE,278.7602778
42637,OUTSOLE,278.1622222
9382,OUTSOLE,277.7694444
26043,OUTSOLE,277.7527778
32259,OUTSOLE,277.7413889
9496,OUTSOLE,277.5497222
9567,OUTSOLE,277.3580556
9581,OUTSOLE,277.2888889
42707,OUTSOLE,277.2758333
42709,OUTSOLE,277.2758333
43446,OUTSOLE,277.0816667
40328,OUTSOLE,276.6744444
40422,OUTSOLE,276.6744444
21320,OUTSOLE,276.5580556
42771,OUTSOLE,276.5088889
11384,OUTSOLE,276.3908333
15315,OUTSOLE,276.3813889
42788,OUTSOLE,276.3322222
39157,OUTSOLE,276.2477778
9676,OUTSOLE,275.7008333
27983,OUTSOLE,275.6838889
15707,OUTSOLE,275.6694444
43675,OUTSOLE,275.5547222
14763,OUTSOLE,275.3936111
